Rank,Operator,Country,SQI,Registered Roamers,Voice SSI,Data SSI,Reg SSI,SMS SSI,Steering Config
48,"Advanced Wireless Network Co Ltd-THAK9(520,03)",Thailand,11.696551724137931,21,10,7.722222222222222,14.7,8.044444444444444,-
49,"SI.Mobil d.d.-SVNSM(293,40)",Slovenia,11.607843137254903,2,-,5.333333333333333,20,6.5,-
50,"Maxis Communications Berhad-MYSBC(502,12)",Malaysia,11.55,-,-,-,18.049999999999997,-,-
51,"StarHub Mobile Pte Ltd-SGPMM(525,05)",Singapore,11.422222222222224,4,-,10,14,10,-
52,"Flow Panama-PANCW(714,01)",Panama,11.265947006869476,46,-,5.431034482758621,16.659756097560976,10,-
53,"ATM MOBILIS-DZAA1(603,01)",Algeria,11.321428571428571,3,-,-,17.599999999999998,-,-
54,"Vodacom Group Pty Ltd.-ZAFOV(655,01)",South Africa,10.875,-,-,-,10.0875,-,-
55,"Nuevatel PCS De Bolivia SA-BOLNT(736,01)",Bolivia,10.805379623113614,1220,2.5423728813559316,5.21790678659035,17.82064451158107,7.11842105263158,-
56,"Bharti Airtel Ltd. Mumbai-INDA1(404,92)",India,10.833333333333332,1,-,-,25,-,-
57,"Telia Finland-FINTF(244,91)",Finland,10.65,4,-,3.75,26,5,-
58,"Digicel Suriname NV-SURDC(746,03)",Suriname,10.700000000000001,-,-,-,32.699999999999996,-,-
59,"Tele2 Eesti AS-ESTRB(248,03)",Estonia,10.649999999999999,-,-,-,20,-,-
60,"Belgacom Mobile-BELHB(206,01)",Belgium,10.467289719626166,12,-,6.666666666666667,15.909090909090908,5.300000000000001,-
61,"T-Mobile USA Inc-USA16(310,160)",United States of America,10.40685925715099,617,10,5.657575757575757,20.673441994247362,7.580981595092023,-
62,"Bouygues Telecom-FRAF3(208,20)",France,10.359513930053348,526,0,8.216905901116428,13.446858638743457,5.890000000000001,-
63,"Xfera Moviles SA-ESPOC(214,04)",Spain,10.222667429879797,298,-,9.76775956284153,11.616766467065869,5.8,-
64,"Vodafone Pacific Limited-AUSOV(505,03)",Australia,10.17974180734856,123,10,7.242424242424242,12.805429864253394,8.39032258064516,-
65,"Empresa Nicaraguense de Telecomunicaciones S.A.-NICEN(710,21)",Nicaragua,10.231404958677683,10,5,5.615384615384615,14.736842105263158,8.75,-
66,"Oman Telecommunications Company-OMNGT(422,02)",Oman,10.24,2,-,-,12.6,10,-
67,"Vodafone Ltd-GBROV(234,15)",United Kingdom,10.14341085271318,44,6.2,6.681818181818182,14.466101694915254,5.342857142857143,-
68,"Vodafone Mobile NZ Limited-NZLBS(530,01)",New Zealand,10.054358013120899,43,-,4.488372093023256,14.473684210526315,7.077777777777778,-
69,"Bell Mobility Inc.-CANBM(302,610)",Canada,10.146341463414634,18,-,6,17.419047619047618,10,-
70,"Servei De Tele. DAndorra-ANDMA(213,03)",Andorra,10.022900763358779,28,-,5,11.875,6.3,-
71,"Emirates Integrated Telecommunications Company-AREDU(424,03)",United Arab Emirates,10.02996254681648,13,10,7.291666666666667,14,8.15,-
72,"Mobiltel EAD-BGR01(284,01)",Bulgaria,10,4,-,10,10,-,-
73,"Hutchison CP Telecommunications-IDN89(510,89)",Indonesia,10,3,-,10,10,-,-
74,"Zain KSA-SAUZN(420,04)",Saudi Arabia,10,3,-,-,10,-,-
75,"Jordan Mobile Telephone Services (JMTS)-JORFL(416,01)",Jordan,10,2,-,10,-,-,-
76,"Tunisie Telecom-TUNTT(605,02)",Tunisia,10,2,-,-,10,-,-
77,"Bharti Airtel Ltd. Punjab-INDA9(404,02)",India,10,2,-,-,10,-,-
78,"Dialog Telekom PLC-LKADG(413,02)",Sri Lanka,10,1,-,10,-,-,-
79,"CTM-MACCT(455,01)",Macau,10,1,-,10,10,-,-
80,"Telenor A/S-DNKDM(238,02)",Denmark,10,1,-,-,10,-,-
81,"Bharti Airtel Ltd. Rajasthan-INDH1(404,70)",India,10,1,-,-,10,-,-
82,"CVMovel S.A.-CPVCV(625,01)",Cape Verde,10,1,-,-,10,-,-
83,"Kar Tel Ltd-KAZKT(401,01)",Kazakhstan,9.857142857142858,11,-,-,9.852941176470589,10,-
84,"KPN B.V.-NLDPT(204,08)",Netherlands,9.923809523809524,6,-,5.5,21.34166666666667,10,-
85,"Vodafone Romania S.A.-ROMMF(226,01)",Romania,9.56807511737089,6,-,10,13.885714285714284,5,-
86,"Vodafone Ireland Ltd.-GBROV(272,01)",Ireland,9.548117154811715,17,-,5.428571428571429,13.846153846153847,10,-
87,"Telia Nattjanster Norden AB-DNKIA(238,20)",Denmark,9.443786982248524,2,-,5,23.076923076923077,-,-
88,"Vivo S.A.-BRAK4(724,06)",Brazil,9.345271679136513,457,10,5.130434782608695,13.024444444444445,6.8244186046511635,-
89,"Pelephone Communications Ltd.-ISRK7(425,03)",Israel,9.297730307076101,40,0,4,16.956521739130434,8.01,-
90,"KT-KORKF(450,08)",South Korea,9.347826086956523,14,-,9,10,5,-
91,"Ooredoo Q.S.C.-QATQT(427,01)",Qatar,9.285714285714285,2,-,10,10,0,-
92,"Orange Egypt-EGYAR(602,01)",Egypt,9.185840707964601,13,10,5.625,13.75,10,-
93,"Digicel Curacao-ANTCT(362,69)",Netherlands Antilles,9.194029850746269,10,-,8.333333333333334,10,0,-
94,"FE VELCOM-BLRMD(257,01)",Belarus,9.162790697674419,5,0,10,17.77777777777778,7.4,-
95,"UNITEL S.a.r.l.-AGOK9(631,02)",Angola,9.244444444444445,5,-,5,10,10,-
96,"Azercell Telecom BM-AZEAC(400,01)",Azerbaijan,9.23076923076923,1,-,10,7.5,10,-
